id,user_id,scenario_type,actor_id,actor_name,dose_rate,dose_absortion,event_datetime
0,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","0.000092","0.0","2024-6-25 12:23:3.446"
1,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","37.927366","0.004844","2024-6-25 12:23:3.912"
2,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","8.11208","0.00794","2024-6-25 12:23:4.435"
3,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","4.137027","0.00865","2024-6-25 12:23:4.978"
4,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","2.821715","0.009163","2024-6-25 12:23:5.529"
5,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","2.42988","0.009522","2024-6-25 12:23:6.9"
6,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","2.324345","0.009856","2024-6-25 12:23:6.528"
7,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","2.260944","0.010206","2024-6-25 12:23:7.42"
8,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","2.28009","0.010524","2024-6-25 12:23:7.545"
9,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","2.28378","0.010841","2024-6-25 12:23:8.49"
10,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","2.295761","0.011176","2024-6-25 12:23:8.573"
11,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","2.277265","0.011496","2024-6-25 12:23:9.77"
12,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","2.408663","0.011834","2024-6-25 12:23:9.603"
13,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","2.500247","0.012183","2024-6-25 12:23:10.108"
14,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","2.537516","0.012509","2024-6-25 12:23:10.630"
15,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","0.096943","0.012584","2024-6-25 12:23:11.180"
16,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","0.028948","0.012592","2024-6-25 12:23:11.662"
17,"1","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","0.02892","0.012596","2024-6-25 12:23:12.189"
18,"1","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","134.412793","2024-6-25 12:24:58.772"
19,"1","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","134.471045","2024-6-25 12:24:59.274"
20,"1","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","134.529776","2024-6-25 12:24:59.776"
21,"1","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","134.591604","2024-6-25 12:25:0.304"
22,"1","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","134.965928","2024-6-25 12:25:3.498"
23,"3","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","0.000073","0.0","2024-6-25 14:34:25.453"
24,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","90.914966","2024-6-25 14:42:37.292"
25,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","90.918505","2024-6-25 14:42:37.319"
26,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","90.92825","2024-6-25 14:42:37.400"
27,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","90.938051","2024-6-25 14:42:37.485"
28,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","90.957326","2024-6-25 14:42:37.655"
29,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","90.990354","2024-6-25 14:42:37.909"
30,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","91.019703","2024-6-25 14:42:38.185"
31,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","91.151636","2024-6-25 14:42:39.301"
32,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","91.209147","2024-6-25 14:42:39.802"
33,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","91.268784","2024-6-25 14:42:40.302"
34,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","91.32934","2024-6-25 14:42:40.829"
35,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","91.387825","2024-6-25 14:42:41.329"
36,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","91.54125","2024-6-25 14:42:42.629"
37,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","91.59764","2024-6-25 14:42:43.120"
38,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","91.970213","2024-6-25 14:42:46.297"
39,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","105.898398","2024-6-25 14:44:45.171"
40,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","106.240413","2024-6-25 14:44:48.91"
41,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","106.273752","2024-6-25 14:44:48.373"
42,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","106.334711","2024-6-25 14:44:48.897"
43,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","106.396272","2024-6-25 14:44:49.425"
44,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","106.457998","2024-6-25 14:44:49.939"
45,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","106.518187","2024-6-25 14:44:50.464"
46,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","106.579876","2024-6-25 14:44:50.987"
47,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","106.63934","2024-6-25 14:44:51.498"
48,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","106.698278","2024-6-25 14:44:52.8"
49,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","106.757667","2024-6-25 14:44:52.505"
50,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","106.818296","2024-6-25 14:44:53.25"
51,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","106.877322","2024-6-25 14:44:53.525"
52,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","106.938834","2024-6-25 14:44:54.53"
53,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","106.994214","2024-6-25 14:44:54.499"
54,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","107.000534","2024-6-25 14:44:54.591"
55,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","107.058074","2024-6-25 14:44:55.123"
56,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","107.11949","2024-6-25 14:44:55.623"
57,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","107.176338","2024-6-25 14:44:56.104"
58,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","107.238029","2024-6-25 14:44:56.658"
59,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","107.299545","2024-6-25 14:44:57.159"
60,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","107.358613","2024-6-25 14:44:57.678"
61,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","107.419955","2024-6-25 14:44:58.187"
62,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","107.478753","2024-6-25 14:44:58.683"
63,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","107.537086","2024-6-25 14:44:59.185"
64,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","107.599799","2024-6-25 14:44:59.715"
65,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","107.657681","2024-6-25 14:45:0.239"
66,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","107.722936","2024-6-25 14:45:0.770"
67,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","107.78753","2024-6-25 14:45:1.326"
68,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","107.846224","2024-6-25 14:45:1.826"
69,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","107.908985","2024-6-25 14:45:2.380"
70,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","107.973365","2024-6-25 14:45:2.906"
71,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","108.035615","2024-6-25 14:45:3.440"
72,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","108.100132","2024-6-25 14:45:3.970"
73,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","108.158744","2024-6-25 14:45:4.490"
74,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","108.214141","2024-6-25 14:45:4.988"
75,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","108.279251","2024-6-25 14:45:5.546"
76,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","108.340871","2024-6-25 14:45:6.26"
77,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","108.399524","2024-6-25 14:45:6.548"
78,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","108.458468","2024-6-25 14:45:7.51"
79,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","108.522584","2024-6-25 14:45:7.599"
80,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","108.582478","2024-6-25 14:45:8.104"
81,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","108.644401","2024-6-25 14:45:8.657"
82,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","108.705768","2024-6-25 14:45:9.157"
83,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","108.767834","2024-6-25 14:45:9.711"
84,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","108.826615","2024-6-25 14:45:10.216"
85,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","108.891229","2024-6-25 14:45:10.719"
86,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","108.952989","2024-6-25 14:45:11.270"
87,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","109.012326","2024-6-25 14:45:11.798"
88,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","109.073871","2024-6-25 14:45:12.320"
89,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","109.136066","2024-6-25 14:45:12.844"
90,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","109.196614","2024-6-25 14:45:13.375"
91,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","109.255934","2024-6-25 14:45:13.875"
92,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","109.317358","2024-6-25 14:45:14.379"
93,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","109.381746","2024-6-25 14:45:14.905"
94,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","109.441424","2024-6-25 14:45:15.437"
95,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","109.49984","2024-6-25 14:45:15.935"
96,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","109.560752","2024-6-25 14:45:16.460"
97,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","109.622579","2024-6-25 14:45:16.965"
98,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","109.678719","2024-6-25 14:45:17.489"
99,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","109.741216","2024-6-25 14:45:17.993"
100,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","109.805429","2024-6-25 14:45:18.547"
101,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","109.86444","2024-6-25 14:45:19.51"
102,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","109.925669","2024-6-25 14:45:19.576"
103,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","109.9879","2024-6-25 14:45:20.103"
104,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","110.047303","2024-6-25 14:45:20.625"
105,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","110.107825","2024-6-25 14:45:21.130"
106,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","110.170077","2024-6-25 14:45:21.684"
107,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","110.232192","2024-6-25 14:45:22.211"
108,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","110.29369","2024-6-25 14:45:22.690"
109,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","110.351871","2024-6-25 14:45:23.212"
110,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","110.410937","2024-6-25 14:45:23.713"
111,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","110.471862","2024-6-25 14:45:24.261"
112,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","110.534148","2024-6-25 14:45:24.745"
113,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","110.593377","2024-6-25 14:45:25.267"
114,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","110.6549","2024-6-25 14:45:25.798"
115,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","110.719632","2024-6-25 14:45:26.326"
116,"3","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","110.776318","2024-6-25 14:45:26.852"
