id,user_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
0,"0","S1_BasicMechanics","real_life","1-1-1 0:0:0.0","2024-6-25 11:52:41.917","(0.0;0.0)","(11.774583;6.038712)","0.133448"
1,"0","S1_BasicMechanics","real_life","2024-6-25 11:52:41.917","2024-6-25 11:52:56.705","(11.774583;6.038712)","(15.838569;-3.678222)","0.105326"
2,"0","S1_BasicMechanics","real_life","2024-6-25 11:52:56.705","2024-6-25 11:53:33.54","(15.838569;-3.678222)","(23.316547;-16.273518)","0.146479"
3,"0","S1_BasicMechanics","real_life","2024-6-25 11:53:33.54","2024-6-25 11:53:35.97","(23.316547;-16.273518)","(12.595658;-9.305132)","0.127866"
4,"0","S1_BasicMechanics","real_life","2024-6-25 11:53:35.97","2024-6-25 11:53:39.150","(12.595658;-9.305132)","(19.720892;-17.440865)","0.108148"
5,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:53:30.189","2024-6-25 11:53:40.553","(12378.636719;-3036.174072)","(12363.917969;-2800.0)","2.366324"
6,"0","S1_BasicMechanics","real_life","2024-6-25 11:53:39.150","2024-6-25 11:53:42.775","(0.0;0.0)","(0.099007;12.779324)","0.127797"
7,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:53:43.861","2024-6-25 11:53:45.66","(12364.193359;-2816.076904)","(12597.081055;-2946.664795)","2.670018"
8,"0","S1_BasicMechanics","real_life","2024-6-25 11:53:42.775","2024-6-25 11:53:47.361","(0.0;0.0)","(11.990402;1.944573)","0.123314"
9,"0","S1_BasicMechanics","real_life","2024-6-25 11:53:47.361","2024-6-25 11:53:52.442","(11.990402;1.944573)","(6.824361;11.58535)","0.109377"
10,"0","S1_BasicMechanics","real_life","2024-6-25 11:53:52.442","2024-6-25 11:53:52.938","(6.824361;11.58535)","(-4.007655;12.275656)","0.10854"
11,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:53:51.204","2024-6-25 11:53:53.713","(12586.989258;-2955.619385)","(12789.46875;-3146.614014)","2.783468"
12,"0","S1_BasicMechanics","real_life","2024-6-25 11:53:52.939","2024-6-25 11:53:54.999","(0.0;0.0)","(14.180655;-2.349387)","0.143741"
13,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:53:57.110","2024-6-25 11:54:1.136","(12777.160156;-3145.465576)","(12680.0;-3010.787354)","1.660672"
14,"0","S1_BasicMechanics","real_life","2024-6-25 11:53:55.0","2024-6-25 11:54:2.153","(0.0;0.0)","(3.855562;17.93277)","0.183426"
15,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:2.154","2024-6-25 11:54:5.733","(3.855562;17.93277)","(20.961819;9.509329)","0.190677"
16,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:5.734","2024-6-25 11:54:6.764","(20.961819;9.509329)","(29.286451;17.802589)","0.117506"
17,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:6.764","2024-6-25 11:54:8.297","(29.286451;17.802589)","(22.354797;29.999769)","0.140292"
18,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:8.297","2024-6-25 11:54:8.814","(22.354797;29.999769)","(16.745846;38.749451)","0.103931"
19,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:54:8.95","2024-6-25 11:54:9.16","(12656.337891;-3037.303223)","(12450.602539;-3227.345947)","2.800769"
20,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:8.814","2024-6-25 11:54:9.821","(0.0;0.0)","(12.78102;-15.290504)","0.20035"
21,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:9.821","2024-6-25 11:54:10.330","(12.78102;-15.290504)","(14.198119;-33.524849)","0.182893"
22,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:10.330","2024-6-25 11:54:13.902","(14.198119;-33.524849)","(25.319622;-27.767574)","0.125233"
23,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:54:13.229","2024-6-25 11:54:15.144","(12428.783203;-3195.77832)","(12395.850586;-3026.793701)","1.721638"
24,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:13.902","2024-6-25 11:54:15.930","(0.0;0.0)","(-11.991362;2.286488)","0.122074"
25,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:15.930","2024-6-25 11:54:16.918","(-11.991362;2.286488)","(-17.836941;-6.699661)","0.107202"
26,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:16.918","2024-6-25 11:54:39.873","(-17.836941;-6.699661)","(-29.220266;-17.949617)","0.160044"
27,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:39.873","2024-6-25 11:54:44.970","(-29.220266;-17.949617)","(-31.274654;-0.999247)","0.170744"
28,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:44.970","2024-6-25 11:54:46.2","(-31.274654;-0.999247)","(-36.015671;10.279758)","0.122349"
29,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:46.2","2024-6-25 11:54:48.531","(-36.015671;10.279758)","(-40.539963;24.263725)","0.146976"
30,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:48.531","2024-6-25 11:54:49.41","(-40.539963;24.263725)","(-42.149483;39.885078)","0.157041"
31,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:49.41","2024-6-25 11:54:50.585","(-42.149483;39.885078)","(-22.993374;20.577534)","0.271981"
32,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:50.585","2024-6-25 11:54:51.617","(-22.993374;20.577534)","(-30.652546;11.845568)","0.116151"
33,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:51.617","2024-6-25 11:54:52.119","(-30.652546;11.845568)","(-38.87323;17.658642)","0.100683"
34,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:52.119","2024-6-25 11:54:53.143","(-38.87323;17.658642)","(-28.149208;9.571955)","0.134313"
35,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:53.143","2024-6-25 11:54:53.663","(-28.149208;9.571955)","(-24.906399;-3.424389)","0.133948"
36,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:53.663","2024-6-25 11:54:54.677","(-24.906399;-3.424389)","(-15.863953;-11.571644)","0.121714"
37,"0","S1_BasicMechanics","real_life","2024-6-25 11:54:54.678","2024-6-25 11:55:2.825","(-15.863953;-11.571644)","(-23.084976;-2.629887)","0.114934"
38,"0","S1_BasicMechanics","real_life","2024-6-25 11:55:2.826","2024-6-25 11:55:3.326","(-23.084976;-2.629887)","(-14.651073;7.703032)","0.133379"
39,"0","S1_BasicMechanics","real_life","2024-6-25 11:55:3.326","2024-6-25 11:55:31.947","(-14.651073;7.703032)","(-31.55607;5.842008)","0.170071"
40,"0","S1_BasicMechanics","real_life","2024-6-25 11:55:31.947","2024-6-25 11:55:35.9","(-31.55607;5.842008)","(-21.789705;-2.447802)","0.128103"
41,"0","S1_BasicMechanics","real_life","2024-6-25 11:55:35.9","2024-6-25 11:55:38.568","(-21.789705;-2.447802)","(-36.795555;4.630602)","0.165915"
42,"0","S1_BasicMechanics","real_life","2024-6-25 11:55:38.568","2024-6-25 11:55:41.149","(-36.795555;4.630602)","(-26.19006;-1.605223)","0.123029"
43,"0","S1_BasicMechanics","real_life","2024-6-25 11:55:41.149","2024-6-25 11:55:47.790","(-26.19006;-1.605223)","(-25.815668;9.563876)","0.111754"
44,"0","S1_BasicMechanics","real_life","2024-6-25 11:55:47.790","2024-6-25 11:55:48.295","(-25.815668;9.563876)","(-35.324657;2.687354)","0.117349"
45,"0","S1_BasicMechanics","real_life","2024-6-25 11:55:48.295","2024-6-25 11:55:50.340","(-35.324657;2.687354)","(-25.510691;-7.081446)","0.138471"
46,"0","S1_BasicMechanics","real_life","2024-6-25 11:55:50.340","2024-6-25 11:55:51.358","(-25.510691;-7.081446)","(-35.679073;-28.793818)","0.239755"
47,"0","S1_BasicMechanics","real_life","2024-6-25 11:55:51.358","2024-6-25 11:55:57.971","(-35.679073;-28.793818)","(-25.997694;-20.927805)","0.124741"
48,"0","S1_BasicMechanics","real_life","2024-6-25 11:55:57.971","2024-6-25 11:56:0.550","(-25.997694;-20.927805)","(-38.273815;-22.398542)","0.123639"
49,"0","S1_BasicMechanics","real_life","2024-6-25 11:56:0.551","2024-6-25 11:56:1.65","(-38.273815;-22.398542)","(-48.084904;-24.423597)","0.100179"
50,"0","S1_BasicMechanics","real_life","2024-6-25 11:56:1.65","2024-6-25 11:56:2.93","(-48.084904;-24.423597)","(-21.520342;-14.154358)","0.284804"
51,"0","S1_BasicMechanics","real_life","2024-6-25 11:56:2.94","2024-6-25 11:56:2.593","(-21.520342;-14.154358)","(-3.075935;-4.372995)","0.208775"
52,"0","S1_BasicMechanics","real_life","2024-6-25 11:56:2.593","2024-6-25 11:56:4.94","(-3.075935;-4.372995)","(-11.978646;6.266637)","0.13873"
53,"0","S1_BasicMechanics","real_life","2024-6-25 11:56:4.94","2024-6-25 11:56:4.616","(-11.978646;6.266637)","(-35.402889;1.182163)","0.239697"
54,"0","S1_BasicMechanics","real_life","2024-6-25 11:56:4.616","2024-6-25 11:56:5.126","(-35.402889;1.182163)","(-46.835476;-0.888038)","0.116185"
55,"0","S1_BasicMechanics","real_life","2024-6-25 11:56:5.126","2024-6-25 11:56:6.140","(-46.835476;-0.888038)","(-28.2663;8.351602)","0.207409"
56,"0","S1_BasicMechanics","real_life","2024-6-25 11:56:6.140","2024-6-25 11:56:12.269","(-28.2663;8.351602)","(-31.194386;19.017292)","0.110603"
57,"0","S1_BasicMechanics","real_life","2024-6-25 11:56:12.269","2024-6-25 11:56:16.378","(-31.194386;19.017292)","(-24.060284;10.922083)","0.107902"
58,"0","S1_BasicMechanics","real_life","2024-6-25 11:56:16.378","2024-6-25 11:56:19.948","(-24.060284;10.922083)","(-32.935047;16.196526)","0.103238"
59,"0","S1_BasicMechanics","real_life","2024-6-25 11:56:19.948","2024-6-25 11:56:21.481","(-32.935047;16.196526)","(-20.00285;9.490849)","0.145674"
60,"0","S1_BasicMechanics","real_life","2024-6-25 11:56:21.481","2024-6-25 11:56:35.258","(-20.00285;9.490849)","(-14.496717;-0.205345)","0.111505"
61,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:56:39.170","2024-6-25 11:56:40.287","(12407.295898;-3023.135742)","(12683.417969;-3242.05835)","3.523785"
62,"0","S1_BasicMechanics","real_life","2024-6-25 11:56:35.258","2024-6-25 11:56:41.400","(0.0;0.0)","(6.009743;11.521462)","0.129947"
63,"0","S1_BasicMechanics","real_life","2024-6-25 11:56:41.401","2024-6-25 11:56:42.927","(6.009743;11.521462)","(-5.746247;13.513058)","0.119235"
64,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:56:42.873","2024-6-25 11:56:43.543","(12689.209961;-3255.954346)","(12838.513672;-3494.669678)","2.815608"
65,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:56:59.540","2024-6-25 11:57:2.459","(12833.006836;-3499.495605)","(12978.669922;-3660.010498)","2.167551"
66,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:57:2.741","2024-6-25 11:57:4.782","(12978.911133;-3659.5354)","(13067.961914;-4024.304688)","3.754818"
67,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:57:20.448","2024-6-25 11:57:21.268","(13064.151367;-4024.565918)","(13032.486328;-4250.685059)","2.283257"
68,"0","S1_BasicMechanics","real_life","2024-6-25 11:56:42.928","2024-6-25 11:57:22.689","(0.0;0.0)","(-3.424187;-13.012072)","0.134551"
69,"0","S1_BasicMechanics","real_life","2024-6-25 11:57:22.689","2024-6-25 11:57:23.730","(-3.424187;-13.012072)","(5.983596;-28.288334)","0.179408"
70,"0","S1_BasicMechanics","real_life","2024-6-25 11:57:23.730","2024-6-25 11:57:24.244","(5.983596;-28.288334)","(15.386323;-39.116161)","0.143406"
71,"0","S1_BasicMechanics","real_life","2024-6-25 11:57:24.244","2024-6-25 11:57:27.817","(15.386323;-39.116161)","(29.294231;-36.982929)","0.140706"
72,"0","S1_BasicMechanics","real_life","2024-6-25 11:57:27.818","2024-6-25 11:57:28.331","(29.294231;-36.982929)","(35.612728;-45.142021)","0.103196"
73,"0","S1_BasicMechanics","real_life","2024-6-25 11:57:28.331","2024-6-25 11:57:28.831","(35.612728;-45.142021)","(46.952042;-42.370594)","0.116731"
74,"0","S1_BasicMechanics","real_life","2024-6-25 11:57:28.831","2024-6-25 11:57:29.834","(46.952042;-42.370594)","(56.101337;-48.532219)","0.110306"
75,"0","S1_BasicMechanics","real_life","2024-6-25 11:57:29.834","2024-6-25 11:57:50.184","(56.101337;-48.532219)","(63.876209;-54.883427)","0.100392"
76,"0","S1_BasicMechanics","real_life","2024-6-25 11:57:50.184","2024-6-25 11:58:34.459","(63.876209;-54.883427)","(63.235737;-65.952591)","0.110877"
77,"0","S1_BasicMechanics","real_life","2024-6-25 11:58:34.459","2024-6-25 11:58:39.62","(63.235737;-65.952591)","(73.246574;-64.696579)","0.100893"
78,"0","S1_BasicMechanics","real_life","2024-6-25 11:58:39.62","2024-6-25 11:58:43.119","(73.246574;-64.696579)","(76.914062;-52.061569)","0.131565"
79,"0","S1_BasicMechanics","real_life","2024-6-25 11:58:43.119","2024-6-25 11:58:45.638","(76.914062;-52.061569)","(68.932297;-41.863724)","0.129501"
80,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:58:46.639","2024-6-25 11:58:48.210","(12958.955078;-4214.168945)","(12587.183594;-4306.529297)","3.830729"
81,"0","S1_BasicMechanics","real_life","2024-6-25 11:58:45.638","2024-6-25 11:58:51.233","(0.0;0.0)","(29.835304;10.171843)","0.315216"
82,"0","S1_BasicMechanics","real_life","2024-6-25 11:58:51.234","2024-6-25 11:58:51.753","(29.835304;10.171843)","(52.999535;9.862328)","0.231663"
83,"0","S1_BasicMechanics","real_life","2024-6-25 11:58:51.753","2024-6-25 11:58:52.278","(52.999535;9.862328)","(63.974678;12.931654)","0.113963"
84,"0","S1_BasicMechanics","real_life","2024-6-25 11:58:52.278","2024-6-25 11:58:53.821","(63.974678;12.931654)","(47.147713;13.410959)","0.168338"
85,"0","S1_BasicMechanics","real_life","2024-6-25 11:58:53.821","2024-6-25 11:58:56.893","(47.147713;13.410959)","(62.538322;22.388123)","0.178174"
86,"0","S1_BasicMechanics","real_life","2024-6-25 11:58:56.893","2024-6-25 11:58:57.404","(62.538322;22.388123)","(74.136147;17.801178)","0.12472"
87,"0","S1_BasicMechanics","real_life","2024-6-25 11:58:57.404","2024-6-25 11:58:57.914","(74.136147;17.801178)","(92.489281;21.321068)","0.186876"
88,"0","S1_BasicMechanics","real_life","2024-6-25 11:58:57.914","2024-6-25 11:59:2.555","(92.489281;21.321068)","(60.964272;13.345343)","0.325183"
89,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:2.555","2024-6-25 11:59:3.599","(60.964272;13.345343)","(34.871635;12.310305)","0.261132"
90,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:3.599","2024-6-25 11:59:4.112","(34.871635;12.310305)","(2.561874;27.025631)","0.35503"
91,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:4.112","2024-6-25 11:59:4.624","(2.561874;27.025631)","(-32.461735;43.048759)","0.385149"
92,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:4.624","2024-6-25 11:59:5.136","(-32.461735;43.048759)","(-56.503521;71.053917)","0.369093"
93,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:5.136","2024-6-25 11:59:5.652","(-56.503521;71.053917)","(-75.948181;97.338303)","0.32695"
94,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:5.652","2024-6-25 11:59:7.170","(-75.948181;97.338303)","(-70.194199;63.947842)","0.338826"
95,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:7.170","2024-6-25 11:59:7.683","(-70.194199;63.947842)","(-53.326027;50.315342)","0.216883"
96,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:7.683","2024-6-25 11:59:8.194","(-53.326027;50.315342)","(-43.80714;43.365246)","0.117861"
97,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:8.195","2024-6-25 11:59:8.715","(-43.80714;43.365246)","(-37.124699;32.055321)","0.131366"
98,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:8.715","2024-6-25 11:59:10.246","(-37.124699;32.055321)","(-51.466759;39.264103)","0.160518"
99,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:10.246","2024-6-25 11:59:11.248","(-51.466759;39.264103)","(-28.036179;20.216707)","0.301959"
100,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:11.248","2024-6-25 11:59:11.750","(-28.036179;20.216707)","(-25.456276;3.937851)","0.16482"
101,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:11.750","2024-6-25 11:59:12.275","(-25.456276;3.937851)","(-30.115143;-21.793941)","0.261501"
102,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:12.275","2024-6-25 11:59:12.799","(-30.115143;-21.793941)","(-23.969955;-33.939186)","0.136114"
103,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:12.800","2024-6-25 11:59:17.907","(-23.969955;-33.939186)","(-27.734764;-23.262714)","0.113208"
104,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:59:17.759","2024-6-25 11:59:18.626","(12614.898438;-4282.836426)","(12467.472656;-3931.65918)","3.808674"
105,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:17.907","2024-6-25 11:59:20.472","(0.0;0.0)","(21.730049;-31.969131)","0.386551"
106,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:20.472","2024-6-25 11:59:20.978","(21.730049;-31.969131)","(31.056862;-56.996147)","0.267084"
107,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:20.978","2024-6-25 11:59:21.485","(31.056862;-56.996147)","(32.853951;-80.037315)","0.231111"
108,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:21.485","2024-6-25 11:59:23.531","(32.853951;-80.037315)","(20.570831;-65.461601)","0.190611"
109,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:23.532","2024-6-25 11:59:24.40","(20.570831;-65.461601)","(31.874718;-44.811035)","0.23542"
110,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:24.40","2024-6-25 11:59:25.81","(31.874718;-44.811035)","(26.83123;-34.77829)","0.112291"
111,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:59:28.371","2024-6-25 11:59:30.818","(12445.827148;-3895.566162)","(12786.075195;-4249.102539)","4.906692"
112,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:25.81","2024-6-25 11:59:32.263","(0.0;0.0)","(9.968376;15.390984)","0.183371"
113,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:32.264","2024-6-25 11:59:32.762","(9.968376;15.390984)","(10.272957;44.998653)","0.296092"
114,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:32.762","2024-6-25 11:59:33.266","(10.272957;44.998653)","(11.178185;107.754585)","0.627625"
115,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:33.266","2024-6-25 11:59:33.779","(11.178185;107.754585)","(15.381432;121.921875)","0.147777"
116,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:33.779","2024-6-25 11:59:34.267","(15.381432;121.921875)","(17.868256;106.265625)","0.158525"
117,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:34.267","2024-6-25 11:59:34.787","(17.868256;106.265625)","(9.869675;56.307659)","0.505942"
118,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:34.788","2024-6-25 11:59:35.294","(9.869675;56.307659)","(12.326286;39.980297)","0.165111"
119,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:35.294","2024-6-25 11:59:36.851","(12.326286;39.980297)","(8.245987;49.14563)","0.100326"
120,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:59:36.30","2024-6-25 11:59:37.392","(12776.216797;-4294.713379)","(12480.09668;-3770.2146)","6.023175"
121,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:36.851","2024-6-25 11:59:38.920","(0.0;0.0)","(4.686378;-17.139656)","0.177688"
122,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:38.920","2024-6-25 11:59:39.422","(4.686378;-17.139656)","(30.991241;-37.891541)","0.33505"
123,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:39.422","2024-6-25 11:59:39.924","(30.991241;-37.891541)","(38.799072;-46.884094)","0.119092"
124,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:39.924","2024-6-25 11:59:40.431","(38.799072;-46.884094)","(34.252533;-65.788155)","0.194431"
125,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:40.431","2024-6-25 11:59:40.938","(34.252533;-65.788155)","(39.959488;-83.90419)","0.189937"
126,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:40.938","2024-6-25 11:59:42.471","(39.959488;-83.90419)","(23.747276;-54.522469)","0.335577"
127,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:59:44.18","2024-6-25 11:59:45.733","(12461.117188;-3716.350098)","(12703.806641;-4255.625488)","5.913677"
128,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:42.471","2024-6-25 11:59:47.558","(0.0;0.0)","(-4.83567;10.651939)","0.116982"
129,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:47.558","2024-6-25 11:59:48.69","(-4.83567;10.651939)","(0.34269;-10.874931)","0.221409"
130,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:48.69","2024-6-25 11:59:48.575","(0.34269;-10.874931)","(18.623329;-11.34079)","0.182866"
131,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:48.575","2024-6-25 11:59:50.101","(18.623329;-11.34079)","(12.057541;-3.455559)","0.102609"
132,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:50.101","2024-6-25 11:59:50.623","(12.057541;-3.455559)","(14.594879;-16.998001)","0.137781"
133,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:50.623","2024-6-25 11:59:51.632","(14.594879;-16.998001)","(2.026283;-16.459709)","0.125801"
134,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:59:53.305","2024-6-25 11:59:55.331","(12702.817383;-4241.030273)","(12522.038086;-3677.991211)","5.913494"
135,"0","S1_BasicMechanics","virtual_reality","2024-6-25 11:59:57.44","2024-6-25 11:59:58.112","(12518.708984;-3676.005127)","(12442.795898;-3615.032715)","0.973675"
136,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:51.632","2024-6-25 11:59:59.756","(0.0;0.0)","(1.880318;-24.934151)","0.250049"
137,"0","S1_BasicMechanics","real_life","2024-6-25 11:59:59.756","2024-6-25 12:0:0.798","(1.880318;-24.934151)","(8.320656;-36.981407)","0.136607"
138,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:0.798","2024-6-25 12:0:1.819","(8.320656;-36.981407)","(-10.510941;-10.329552)","0.326336"
139,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:1.819","2024-6-25 12:0:2.339","(-10.510941;-10.329552)","(-14.602844;2.056328)","0.130443"
140,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:2.339","2024-6-25 12:0:3.338","(-14.602844;2.056328)","(-23.829437;-6.142876)","0.123433"
141,"0","S1_BasicMechanics","virtual_reality","2024-6-25 12:0:3.765","2024-6-25 12:0:6.608","(12467.285156;-3608.853271)","(12708.910156;-4116.507324)","5.622231"
142,"0","S1_BasicMechanics","virtual_reality","2024-6-25 12:0:7.455","2024-6-25 12:0:9.386","(12708.776367;-4117.401855)","(12837.576172;-4297.265137)","2.212241"
143,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:3.339","2024-6-25 12:0:10.974","(0.0;0.0)","(7.141495;11.080963)","0.131829"
144,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:10.974","2024-6-25 12:0:12.487","(7.141495;11.080963)","(11.767838;-16.971954)","0.284318"
145,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:12.487","2024-6-25 12:0:14.36","(11.767838;-16.971954)","(18.801117;-3.51767)","0.151817"
146,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:14.36","2024-6-25 12:0:14.538","(18.801117;-3.51767)","(30.647697;-4.519791)","0.118889"
147,"0","S1_BasicMechanics","virtual_reality","2024-6-25 12:0:16.245","2024-6-25 12:0:17.507","(12800.083008;-4297.395996)","(12957.013672;-3748.789062)","5.706108"
148,"0","S1_BasicMechanics","virtual_reality","2024-6-25 12:0:18.610","2024-6-25 12:0:19.546","(12959.957031;-3747.244873)","(12979.862305;-3639.508789)","1.095595"
149,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:14.538","2024-6-25 12:0:21.142","(0.0;0.0)","(-19.735329;-11.263863)","0.227235"
150,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:21.143","2024-6-25 12:0:22.185","(-19.735329;-11.263863)","(-30.74176;-18.803062)","0.13341"
151,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:22.185","2024-6-25 12:0:25.746","(-30.74176;-18.803062)","(-23.287636;-2.882851)","0.175789"
152,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:25.746","2024-6-25 12:0:27.810","(-23.287636;-2.882851)","(-24.16127;7.6185)","0.105376"
153,"0","S1_BasicMechanics","virtual_reality","2024-6-25 12:0:27.38","2024-6-25 12:0:28.831","(13003.198242;-3646.098877)","(12912.710938;-4200.26416)","5.615041"
154,"0","S1_BasicMechanics","virtual_reality","2024-6-25 12:0:30.510","2024-6-25 12:0:31.537","(12914.328125;-4206.370117)","(12925.089844;-4393.82666)","1.877653"
155,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:27.810","2024-6-25 12:0:32.442","(0.0;0.0)","(10.809769;-2.37632)","0.110679"
156,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:32.442","2024-6-25 12:0:32.946","(10.809769;-2.37632)","(19.753143;4.360107)","0.111966"
157,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:32.946","2024-6-25 12:0:34.989","(19.753143;4.360107)","(1.216927;-9.680664)","0.232537"
158,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:34.989","2024-6-25 12:0:35.978","(1.216927;-9.680664)","(20.614632;0.705933)","0.220035"
159,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:35.978","2024-6-25 12:0:36.482","(20.614632;0.705933)","(9.404633;5.90078)","0.123552"
160,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:36.482","2024-6-25 12:0:36.985","(9.404633;5.90078)","(1.767151;-23.689621)","0.305602"
161,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:36.985","2024-6-25 12:0:37.498","(1.767151;-23.689621)","(14.122772;-31.888046)","0.148282"
162,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:37.498","2024-6-25 12:0:40.36","(14.122772;-31.888046)","(17.391373;-16.896828)","0.153434"
163,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:40.37","2024-6-25 12:0:41.53","(17.391373;-16.896828)","(12.00399;-27.592422)","0.119758"
164,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:41.53","2024-6-25 12:0:43.608","(12.00399;-27.592422)","(21.8526;-29.503586)","0.100323"
165,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:43.608","2024-6-25 12:0:46.150","(21.8526;-29.503586)","(12.196053;-32.214005)","0.100297"
166,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:46.150","2024-6-25 12:0:47.677","(12.196053;-32.214005)","(6.193153;-23.741089)","0.103839"
167,"0","S1_BasicMechanics","real_life","2024-6-25 12:0:47.677","2024-6-25 12:0:52.266","(6.193153;-23.741089)","(18.64521;-33.326477)","0.157141"
