user_id,actor_id,scenary_type,event_type,event_datetime
64,12,CarAccident,start_point_to,1686815626
64,12,CarAccident,stop_point_to,1686815626
64,11,CarAccident,start_look_at,1686815626
64,12,CarAccident,start_point_to,1686815626
64,11,CarAccident,stop_look_at,1686815627
64,12,CarAccident,stop_point_to,1686815627
64,11,CarAccident,start_look_at,1686815627
64,10,CarAccident,start_point_to,1686815627
64,10,CarAccident,stop_point_to,1686815627
64,11,CarAccident,stop_look_at,1686815627
64,12,CarAccident,start_look_at,1686815627
64,12,CarAccident,stop_look_at,1686815628
64,10,CarAccident,start_point_to,1686815628
64,12,CarAccident,stop_point_to,1686815628
64,12,CarAccident,start_look_at,1686815628
64,12,CarAccident,start_point_to,1686815628
64,10,CarAccident,stop_point_to,1686815628
64,10,CarAccident,start_point_to,1686815628
64,10,CarAccident,stop_point_to,1686815628
64,10,CarAccident,start_point_to,1686815628
64,12,CarAccident,stop_look_at,1686815628
64,12,CarAccident,start_look_at,1686815629
64,10,CarAccident,stop_point_to,1686815629
64,10,CarAccident,start_point_to,1686815629
64,10,CarAccident,stop_point_to,1686815629
64,10,CarAccident,start_point_to,1686815629
64,10,CarAccident,stop_point_to,1686815629
64,10,CarAccident,stop_point_to,1686815630
64,10,CarAccident,start_point_to,1686815630
64,10,CarAccident,stop_point_to,1686815630
64,10,CarAccident,start_point_to,1686815630
64,10,CarAccident,start_point_to,1686815630
64,12,CarAccident,stop_look_at,1686815630
64,12,CarAccident,start_look_at,1686815630
64,12,CarAccident,stop_look_at,1686815631
64,10,CarAccident,stop_point_to,1686815631
64,10,CarAccident,start_point_to,1686815631
64,12,CarAccident,start_look_at,1686815631
64,12,CarAccident,stop_look_at,1686815631
64,10,CarAccident,stop_point_to,1686815631
64,10,CarAccident,start_point_to,1686815631
64,10,CarAccident,stop_point_to,1686815632
64,10,CarAccident,start_point_to,1686815632
64,10,CarAccident,stop_point_to,1686815633
64,10,CarAccident,start_point_to,1686815633
64,12,CarAccident,start_look_at,1686815633
64,10,CarAccident,stop_point_to,1686815633
64,12,CarAccident,stop_look_at,1686815634
64,11,CarAccident,start_look_at,1686815635
64,11,CarAccident,stop_look_at,1686815635
64,10,CarAccident,start_look_at,1686815637
64,10,CarAccident,stop_look_at,1686815637
64,10,CarAccident,start_point_to,1686815638
64,10,CarAccident,stop_point_to,1686815638
64,10,CarAccident,start_point_to,1686815638
64,10,CarAccident,start_point_to,1686815639
64,10,CarAccident,stop_point_to,1686815639
64,10,CarAccident,start_point_to,1686815639
64,10,CarAccident,stop_point_to,1686815639
64,10,CarAccident,stop_point_to,1686815639
64,10,CarAccident,start_point_to,1686815648
64,10,CarAccident,stop_point_to,1686815648
64,10,CarAccident,stop_point_to,1686815648
64,10,CarAccident,stop_look_at,1686815648
64,10,CarAccident,start_point_to,1686815648
64,10,CarAccident,start_look_at,1686815648
64,11,CarAccident,start_point_to,1686815649
64,11,CarAccident,stop_point_to,1686815649
64,11,CarAccident,start_point_to,1686815651
64,11,CarAccident,start_look_at,1686815651
64,11,CarAccident,stop_point_to,1686815651
64,11,CarAccident,stop_look_at,1686815651
64,10,CarAccident,start_point_to,1686815651
64,11,CarAccident,start_look_at,1686815651
64,11,CarAccident,stop_look_at,1686815651
64,10,CarAccident,stop_point_to,1686815651
64,11,CarAccident,stop_point_to,1686815652
64,12,CarAccident,stop_look_at,1686815652
64,11,CarAccident,start_point_to,1686815652
64,12,CarAccident,start_look_at,1686815652
64,12,CarAccident,start_look_at,1686815653
64,10,CarAccident,start_point_to,1686815653
64,10,CarAccident,stop_point_to,1686815653
64,10,CarAccident,start_point_to,1686815653
64,10,CarAccident,stop_point_to,1686815654
64,10,CarAccident,start_point_to,1686815654
64,10,CarAccident,stop_point_to,1686815654
64,10,CarAccident,start_point_to,1686815654
64,10,CarAccident,stop_point_to,1686815654
64,10,CarAccident,start_point_to,1686815654
64,10,CarAccident,stop_point_to,1686815656
64,10,CarAccident,start_point_to,1686815656
64,10,CarAccident,stop_point_to,1686815658
64,12,CarAccident,stop_look_at,1686815658
64,10,CarAccident,stop_point_to,1686815659
64,12,CarAccident,stop_look_at,1686815659
64,12,CarAccident,start_point_to,1686815659
64,12,CarAccident,stop_point_to,1686815659
64,12,CarAccident,start_point_to,1686815659
64,12,CarAccident,start_look_at,1686815659
64,12,CarAccident,stop_look_at,1686815659
64,12,CarAccident,start_point_to,1686815659
64,12,CarAccident,stop_point_to,1686815659
64,12,CarAccident,stop_point_to,1686815659
64,10,CarAccident,start_point_to,1686815659
64,12,CarAccident,start_point_to,1686815659
64,12,CarAccident,stop_point_to,1686815659
64,12,CarAccident,start_point_to,1686815659
